ID,Empresa,Razao_Social_CNPJ,Categoria,Especialidade,Cidade_Sede,UF,Eixo_Regional,Dist_Louveira_km,Raio_de_Atuacao,Porte_Estimado,Fundacao,Site,Telefone,Endereco,Social,Decisor_Alvo_Cargo,Nome_Decisor,Email,Gatilho_Comercial,Prioridade_ICP,Confianca_do_Dado,Fonte,Status_Prospeccao,Proxima_Acao,Observacoes,Google_Maps,Avaliacao,Qtd_Avaliacoes,Status_Negocio
0001,AC Tampelli Arquitetura do bem-estar,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,http://www.actampelli.com/,(11) 93287-5757,"Tv. Familia Tozzi, 349 - Res. Tosi, Itupeva - SP, 13296-050",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=3819518721351912288&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,8,OPERATIONAL
0002,Arch Beit Arquitetura e Engenharia,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://www.instagram.com/archbeit/,(11) 96133-0524,"R. Santa Clara - Santo Antônio 1, Itupeva - SP, 13295-644",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8000414918028583154&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,4,OPERATIONAL
0003,Bruna Falcuci - Interiores,,Arquitetura,,Itupeva,SP,Eixo Louveira,22,,,,https://linkr.bio/brunafalcuci,(11) 91161-1478,"R. Juruna, 1004 - Parque Residencial Paraiso - Terras Brasilis, Itupeva - SP, 13295-374",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8589097607035762241&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0004,Do Lado Di Cá Interiores,,Arquitetura,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://www.doladodica.com.br/,,"R. Emancipadores do Município, 356 - | Sala 09 - Marchi, Itupeva - SP, 13295-154",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=252997394019080561&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,31,OPERATIONAL
0005,EDUARDO MUZI ARQUITETURA,,Arquitetura,Escritório da empresa,Itupeva,SP,Eixo Louveira,22,,,,,(19) 99666-2025,"R. 4 - Residencial Colinas De Itupeva, Itupeva - SP, 13295-000",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=14897853509487994042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,2,OPERATIONAL
0006,ESTÚDIO CACTUS INTERIORES | TAILANI MOURA,,Arquitetura,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,,(11) 99913-3711,"R. Antonio Poli, 699 - Sl 07 - Jardim Sao Vicente, Itupeva - SP, 13295-128",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15910949679786074777&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,8,OPERATIONAL
0007,F3V Arquitetura e Construção,,Arquitetura,,Itupeva,SP,Eixo Louveira,22,,,,,(11) 97268-0651,"R. Emancipadores do Município, 407 - do Pinheirinho, Itupeva - SP, 13295-000",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=8916422415989356956&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0008,Gercons Arquitetura,,Arquitetura,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://admgercons.wixsite.com/gerconsarquitetura,(11) 4496-0700,"R. Juliana de Oliveira Borges, 100 - Parque Das Vinhas, Itupeva - SP, 13295-528",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=16355098402199880577&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,14,OPERATIONAL
0009,Lorena Campos Arquitetura e Construção,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://www.lorenacampos.com.br/escritorio-de-arquitetura-em-itupeva/,(11) 96187-1664,"Av. Guanabara, 140 - Sl 02 - Jardim Sao Vicente, Itupeva - SP, 13295-090",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=11846604377527409960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.9,39,OPERATIONAL
0010,Mia Casa Arquitetura e Construção,,Arquitetura,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://linktr.ee/miacasa.arq,(11) 99655-0286,"Av. Guanabara, 147 - Jardim Sao Vicente, Itupeva - SP, 13295-090",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=16278772848485750624&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,,,OPERATIONAL
0011,Munndo Arquitetura e Engenharia,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,,(11) 98305-1028,"Tv. Aldeci Evangelista Campos, 420 - Parque das Vinhas, Itupeva - SP, 13295-534",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=12471540691508586091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,2,OPERATIONAL
0012,PHM Arquitetura,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://linktr.ee/phmarquitetura,(11) 97085-5319,"Av. Antônio de Almeida, 135 - Parque Amarylis, Itupeva - SP, 13295-186",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=9871564289720846490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,34,OPERATIONAL
0013,Prolima Arquitetura,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://prolimaarquitetura.com.br/,(11) 98303-6623,"R. Antonio Poli, 699 - Jardim Sao Vicente, Itupeva - SP, 13295-000",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=11774679742824677104&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.7,31,OPERATIONAL
0014,RC2 Arquitetura e Construção,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://construtoraecampos.com.br/lp/,(11) 95871-3467,"Rodovia Vice Prefeito Hermenegildo Tonoli, 469 – CEP: 13295-000 - Região Metropolitana de Jundiaí, Itupeva - SP, 13295-000",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=166902027927484720&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,18,OPERATIONAL
0015,Redoma Arquitetura,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://redomaarquitetura.com/,(11) 96446-0698,"R. José Firmino da Silva, 43 - Jardim Brasil, Itupeva - SP, 13296-098",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=5536835393396346327&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,15,OPERATIONAL
0016,SANSI Arquitetura Interiores,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://www.instagram.com/elainesansi.arq?igsh=d3Jqd2d0bWwxZGJl&utm_source=qr,(11) 97520-8739,"R. Maria Clara Almeida Santos, 92 - Sl 04 - Parque Das Vinhas, Itupeva - SP, 13295-970",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=11927421020154590324&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,15,OPERATIONAL
0017,Seed Arquitetura e Design,,Arquitetura,,Itupeva,SP,Eixo Louveira,22,,,,,(11) 98242-1803,"Rua Porã 715 - Estr. da Mina, 1800 - Residencial Ibiaram 2, Itupeva - SP, 13295-000",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=872207260924099884&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,14,CLOSED_TEMPORARILY
0018,aTTo Arquitetura,,Arquitetura,Serviços,Itupeva,SP,Eixo Louveira,22,,,,https://www.attoarquitetura.arq.br/,(11) 4496-1977,"Av. Brasil, 607 - 13 - Jardim Nova Itupeva, Itupeva - SP, 13295-000",,Socio / Arquiteto titular,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=17188918032066311803&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,11,OPERATIONAL
0019,AG MANUTENÇÃO PREDIAL,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,https://agmanutencaopredial.com.br/,(11) 95871-0808,"R. São Sebastião, 152 - Santo Antônio 1, Itupeva - SP, 13295-642",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=18162037217903938223&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,5,6,OPERATIONAL
0020,ALS Serviços,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://alsservicos.com.br/,(11) 98783-2265,"Rua Augusta Freitas Nogueira, 83 - Residencial Pacaembu II, Itupeva - SP, 13295-406",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15145878097212046477&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.5,2,OPERATIONAL
0021,ASJ | Fabrica de Telas em Itupeva,,Construtora,Empreiteira,Itupeva,SP,Eixo Louveira,22,,,,http://asjtelas.com.br/,(11) 91461-3987,"R. Jundiaí, 371 - Jardim Primavera, Itupeva - SP, 13295-160",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=15602461363009496426&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,20,OPERATIONAL
0022,Barão construção,,Construtora,Loja de materiais de construção,Itupeva,SP,Eixo Louveira,22,,,,http://www.baraoconstrucao.com.br/,(19) 99404-6372,"R. A - Barão Da Boa Vista, Itupeva - SP, 13299-634",,Socio-Diretor / Diretor de Obras,,,,A,Alta,Google Places API + Details,Nao iniciado,Validar site e decisor,,https://maps.google.com/?cid=10870829955118034557&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,4.8,12,OPERATIONAL
